,code,name
830,600354,敦煌种业
831,600353,旭光股份
832,600352,浙江龙盛
833,600351,亚宝药业
834,600350,山东高速
835,600348,阳泉煤业
836,600346,恒力股份
837,600345,长江通信
838,600343,航天动力
839,600340,华夏幸福
840,600338,西藏珠峰
841,600337,美克家居
842,600336,澳柯玛
843,600335,国机汽车
844,600333,长春燃气
845,600332,白云山
846,600331,宏达股份
847,600330,天通股份
848,600329,中新药业
849,600328,兰太实业
850,600327,大东方
851,600326,西藏天路
852,600325,华发股份
853,600323,瀚蓝环境
854,600322,天房发展
855,600321,国栋建设
856,600320,振华重工
857,600318,新力金融
858,600317,营口港
859,600316,洪都航空
860,600315,上海家化
861,600313,农发种业
862,600312,平高电气
863,600311,荣华实业
864,600310,桂东电力
865,600309,万华化学
866,600308,华泰股份
867,600307,酒钢宏兴
868,600305,恒顺醋业
869,600303,曙光股份
870,600302,标准股份
871,600300,维维股份
872,600299,安迪苏
873,600298,安琪酵母
874,600297,广汇汽车
875,600295,鄂尔多斯
876,600293,三峡新材
877,600292,远达环保
878,600291,西水股份
879,600290,华仪电气
880,600289,亿阳信通
881,600288,大恒科技
882,600287,江苏舜天
883,600285,羚锐制药
884,600284,浦东建设
885,600283,钱江水利
886,600282,南钢股份
887,600281,太化股份
888,600280,中央商场
889,600279,重庆港九
890,600278,东方创业
891,600277,亿利洁能
892,600276,恒瑞医药
893,600275,武昌鱼
894,600273,嘉化能源
895,600272,开开实业
896,600271,航天信息
897,600270,外运发展
898,600269,赣粤高速
899,600268,国电南自
900,600267,海正药业
901,600266,北京城建
902,600262,北方股份
903,600261,阳光照明
904,600260,凯乐科技
905,600259,广晟有色
906,600258,首旅酒店
907,600257,大湖股份
908,600256,广汇能源
909,600255,鑫科材料
910,600252,中恒集团
911,600251,冠农股份
912,600250,南纺股份
913,600249,两面针
914,600248,延长化建
915,600246,万通地产
916,600243,青海华鼎
917,600242,中昌数据
918,600241,时代万恒
919,600240,华业资本
920,600239,云南城投
921,600238,海南椰岛
922,600237,铜峰电子
923,600236,桂冠电力
924,600235,民丰特纸
925,600233,圆通速递
926,600232,金鹰股份
927,600231,凌钢股份
928,600229,城市传媒
929,600228,昌九生化
930,600227,赤天化
931,600226,升华拜克
932,600225,天津松江
933,600223,鲁商置业
934,600222,太龙药业
935,600221,海南航空
936,600220,江苏阳光
937,600219,南山铝业
938,600218,全柴动力
939,600217,中再资环
940,600216,浙江医药
941,600215,长春经开
942,600213,亚星客车
943,600211,西藏药业
944,600210,紫江企业
945,600209,罗顿发展
946,600208,新湖中宝
947,600207,安彩高科
948,600206,有研新材
949,600203,福日电子
950,600202,哈空调
951,600201,生物股份
952,600200,江苏吴中
953,600199,金种子酒
954,600198,大唐电信
955,600197,伊力特
956,600196,复星医药
957,600195,中牧股份
958,600193,创兴资源
959,600192,长城电工
960,600191,华资实业
961,600190,锦州港
962,600189,吉林森工
963,600188,兖州煤业
964,600187,国中水务
965,600186,莲花健康
966,600185,格力地产
967,600184,光电股份
968,600183,生益科技
969,600182,S佳通
970,600180,瑞茂通
