index,open_interest,total_turnover,open,limit_up,volume,high,trading_date,limit_down,close,basis_spread,low
2013-11-21 14:45:00,2294614.0,2428079620.0,3600.821,3767.849,67206.0,3606.463,2013-11-21,3477.854,3604.486,,3599.997
2013-11-21 15:00:00,2244408.0,8344987260.0,3604.659,3767.914,231246.0,3604.659,2013-11-21,3477.732,3601.167,,3596.671
2013-11-22 09:15:00,2250862.0,7000918580.0,3605.093,3754.032,193514.0,3613.697,2013-11-22,3465.629,3610.576,,3603.022
2013-11-22 09:30:00,2254388.0,3006187120.0,3609.951,3754.081,83048.0,3611.835,2013-11-22,3465.709,3609.041,,3605.41
2013-11-22 09:45:00,2253848.0,1901873800.0,3609.766,3754.098,52542.0,3612.503,2013-11-22,3465.744,3612.503,,3607.058
2013-11-22 10:00:00,2241446.0,5222855440.0,3612.596,3754.091,144052.0,3618.654,2013-11-22,3465.735,3616.869,,3610.857
2013-11-22 10:15:00,2235212.0,3702074700.0,3617.049,3754.106,102016.0,3621.873,2013-11-22,3465.753,3616.147,,3616.147
2013-11-22 10:45:00,2234552.0,2814575140.0,3617.046,3754.125,77606.0,3621.683,2013-11-22,3465.743,3616.187,,3615.003
2013-11-22 11:00:00,2231108.0,1257593420.0,3616.185,3754.15,34720.0,3617.083,2013-11-22,3465.791,3613.944,,3613.37
2013-11-22 11:15:00,2231500.0,1560940220.0,3614.596,3754.156,43056.0,3617.752,2013-11-22,3465.805,3614.222,,3613.773
2013-11-22 11:30:00,2225802.0,3090388760.0,3614.128,3754.196,85356.0,3614.852,2013-11-22,3465.818,3610.657,,3609.505
2013-11-22 13:45:00,2228702.0,3203239160.0,3609.656,3754.245,88582.0,3610.576,2013-11-22,3465.823,3606.525,,3606.054
2013-11-22 14:00:00,2222166.0,3936829300.0,3606.135,3754.253,108958.0,3607.758,2013-11-22,3465.891,3603.453,,3601.742
2013-11-22 14:15:00,2225010.0,1517597900.0,3602.629,3754.289,42010.0,3606.179,2013-11-22,3465.914,3606.102,,3601.731
2013-11-22 14:30:00,2222600.0,2023615300.0,3605.839,3754.304,56082.0,3606.035,2013-11-22,3465.931,3601.496,,3600.598
2013-11-22 14:45:00,2219888.0,2513455000.0,3601.335,3754.332,69590.0,3606.227,2013-11-22,3465.965,3604.948,,3599.71
2013-11-22 15:00:00,2178578.0,3404862900.0,3604.949,3754.308,94266.0,3605.945,2013-11-22,3465.796,3603.009,,3601.282
2013-11-25 09:15:00,2203500.0,7719572020.0,3611.798,3753.269,213150.0,3617.052,2013-11-25,3464.839,3608.227,,3603.308
2013-11-25 09:30:00,2206638.0,6060681140.0,3608.229,3753.322,167178.0,3625.944,2013-11-25,3464.928,3624.394,,3605.856
2013-11-25 09:45:00,2213202.0,8294895460.0,3623.81,3753.507,228202.0,3629.701,2013-11-25,3465.004,3623.663,,3621.181
2013-11-25 10:00:00,2209770.0,2627289440.0,3624.006,3753.509,72350.0,3624.733,2013-11-25,3465.128,3623.496,,3619.176
2013-11-25 10:15:00,2212792.0,2689213800.0,3624.222,3753.556,74018.0,3626.165,2013-11-25,3465.148,3621.219,,3619.644
2013-11-25 10:45:00,2212838.0,3808266840.0,3621.409,3753.618,104936.0,3623.323,2013-11-25,3465.211,3616.387,,3615.598
2013-11-25 11:00:00,2221188.0,3378415860.0,3617.049,3753.635,93120.0,3621.988,2013-11-25,3465.241,3620.821,,3613.059
2013-11-25 11:15:00,2222314.0,1549490960.0,3620.917,3753.644,42672.0,3623.553,2013-11-25,3465.259,3621.83,,3618.208
2013-11-25 11:30:00,2222238.0,2116484140.0,3621.833,3753.67,58326.0,3623.559,2013-11-25,3465.281,3617.376,,3615.578
2013-11-25 13:45:00,2223698.0,1735706620.0,3617.482,3753.946,48060.0,3618.766,2013-11-25,3465.306,3618.556,,3615.203
2013-11-25 14:00:00,2224462.0,1356094660.0,3617.83,3753.978,37418.0,3618.829,2013-11-25,3465.566,3614.492,,3614.229
2013-11-25 14:15:00,2217150.0,4696483860.0,3615.122,3753.97,129764.0,3615.286,2013-11-25,3465.539,3612.594,,3608.041
2013-11-25 14:30:00,2219474.0,1596870860.0,3612.504,3753.96,44084.0,3615.168,2013-11-25,3465.547,3613.099,,3611.442
2013-11-25 14:45:00,2211756.0,1953470660.0,3612.456,3753.962,53924.0,3616.239,2013-11-25,3465.556,3611.167,,3610.968
2013-11-25 15:00:00,2166172.0,6373180340.0,3611.794,3753.968,175768.0,3623.212,2013-11-25,3465.507,3622.216,,3609.152
2013-11-26 09:15:00,2162522.0,12747223040.0,3626.185,3760.994,349880.0,3635.861,2013-11-26,3471.115,3633.035,,3622.951
2013-11-26 09:30:00,2143360.0,5902132100.0,3632.605,3761.079,161934.0,3636.112,2013-11-26,3471.169,3633.278,,3630.916
2013-11-26 09:45:00,2158774.0,8908343680.0,3633.451,3761.194,244036.0,3642.453,2013-11-26,3471.181,3637.353,,3632.723
2013-11-26 10:00:00,2156764.0,4338333120.0,3637.344,3761.298,118980.0,3639.798,2013-11-26,3471.33,3635.194,,3631.92
2013-11-26 10:15:00,2162602.0,1722951440.0,3635.549,3761.384,47228.0,3637.411,2013-11-26,3471.45,3637.411,,3633.743
